fruit_redness,fruit_greenness,leaf_health,spot_count,spot_darkness,surface_texture,size,stem_brownness,label
0.41025626819298583,0.19631054778175597,0.6239457864169858,0.5666751039974924,0.9245320780469553,0.8269721341496569,0.5308958345657818,0.010795147191168253,1
0.8808379978468883,0.08247314742312477,0.8557518526987501,0.0,0.14379310722679717,0.1205653249033135,0.6598066113980661,0.0940934747857911,0
0.7355348175235162,0.14062141640624298,0.8390243270368678,0.11942923355615322,0.3597856482944479,0.09151142480949875,0.4088061355740885,0.19336590635050954,0
0.8276641652928021,0.002335693349827292,0.8198683642840608,0.06410976539271504,0.7733309326549545,0.19467460634965106,0.3333120650697976,0.15744208614931696,0
0.7327892495629557,0.20192147065600807,0.25599339894643924,0.5209616525916605,0.22856677939164566,0.3546513002561602,0.9453741324796477,0.6263085139906966,1
0.7222844730924209,0.13057243360120477,0.7373922727034619,0.01886417511694681,0.5211534833806715,0.17587351228797812,0.4571617157636894,0.1206251518960769,0
0.8082402784942387,0.0,0.9577604534394811,0.02805930974809152,0.9052747983541914,0.0,0.9227844362039449,0.17662157360397146,0
0.29814657348999896,0.8026430150821035,0.031323780936791557,0.264519238425525,0.07377042057232744,0.10557024792397873,0.04720985658537036,0.7825258659638076,1
0.9403661250119149,0.2365481071313677,0.7298780009155416,0.07465996852651229,0.3471884925528482,0.1515282909944057,0.6319100352364454,0.040495772485791504,0
0.050554478169897,0.5694552472408956,0.023785767010886708,0.18686938283528068,0.6354873599376915,1.0,0.2761926963575691,1.0,1
0.9451035512109182,0.891447179123593,0.0,0.08796539489959043,0.8895943888444605,1.0,0.2161038500813444,0.9915957628054998,1
0.7855253982581893,0.15531296180319884,0.8997744467104083,0.0,0.31507555254115094,0.16584722110204086,0.2889228342109832,0.0,0
0.7552827711876091,0.013709848566263005,0.7813179807795569,0.089960419562106,0.7846876829113759,0.2821064815683433,0.8347755781623413,0.2759567510110773,0
0.767699154936948,0.820071076864719,0.0,0.2679687905138629,0.585683323508467,1.0,0.2739807760968538,0.9024544427871951,1
0.8924254108614202,0.08520945604557167,0.8430612496308548,0.14738148089701808,0.8748368537851736,0.009523253357525116,0.7037245381335873,0.2140415492247888,0
0.42484876985024844,0.8963979601798553,0.0,0.9455075396261253,0.2920216810044085,0.7899323238064094,0.4774601581311463,0.6541184485848468,1
0.8750228161312559,0.15411600816350304,0.8658037384733138,0.1306322297172356,0.38191978208758404,0.1534121584437201,0.7183421043207863,0.21534683221962134,0
0.5765861125602912,0.3509459176015157,0.18224888858312893,0.20438116282315205,0.7694110776559665,0.8427339298484302,0.05093708679688877,0.9668825473994138,1
0.0011473178242501492,0.372395821430209,0.34017805716964244,0.336964923342274,0.1384931305796574,0.994856786555207,0.02537720005048405,0.7422486381468972,1
0.4524718339508609,0.293112137486826,0.47794974868769224,0.5471853981413524,0.6400483079217616,0.6100543307641297,0.4274415163057434,0.18894567679935326,1
0.4739975573393209,0.1890515642072792,0.06779818705201424,0.7141684768949805,0.8133229800968764,0.9109585868856351,0.343625134254225,0.5517500617442425,1
0.873399787968706,0.29821263969051515,0.7777352040102775,0.08379113420114731,0.9487866373466826,0.0585704291760952,0.37033345663602846,0.14619389248417008,0
0.7664280117595237,0.13419328796240435,0.8966259940324837,0.14106173716175455,0.9577456529099191,0.046833342042418985,0.8831732127382815,0.205973922072846,0
0.6740148284948257,0.31973439539417714,0.08023892880970232,0.11262136749744892,0.7775190444144807,0.7691391255598068,0.21530757819500615,0.8351827189545183,1
0.6939200010450405,0.0,0.334434162331103,0.7121141069909241,0.5603584588577678,0.6303270024351011,0.5716008913896544,0.06955366484185421,1
